"ID","sMAPE","RMSE","MAE","MASE"
"1","ets","ets","ets","ets"
"2","arima","arima","arima","arima"
"3","ets","ets","ets","ets"
"4","naive","naive","naive","naive"
"5","naive","naive","naive","naive"
"6","ets","ets","ets","ets"
"7","ets","ets","ets","ets"
"8","arima","ets","arima","arima"
"9","nnet","nnet","nnet","nnet"
"10","arima","arima","arima","arima"
"11","arima","arima","arima","arima"
"12","naive","naive","naive","naive"
"13","arima","arima","arima","arima"
"14","ets","ets","ets","ets"
"15","arima","arima","arima","arima"
"16","arima","arima","arima","arima"
"17","arima","arima","arima","arima"
"18","nnet","arima","nnet","nnet"
"19","nnet","ets","ets","ets"
"20","nnet","nnet","nnet","nnet"
"21","nnet","nnet","nnet","nnet"
"22","ets","arima","arima","arima"
"23","arima","arima","arima","arima"
"24","arima","arima","arima","arima"
"25","ets","ets","ets","ets"
"26","ets","ets","ets","ets"
"27","nnet","nnet","nnet","nnet"
"28","ets","ets","ets","ets"
"29","snaive","snaive","snaive","snaive"
"30","ets","ets","ets","ets"
"31","naive","naive","naive","naive"
"32","naive","naive","naive","naive"
"33","arima","arima","arima","arima"
"34","ets","ets","ets","ets"
"35","naive","ets","naive","naive"
"36","ets","snaive","ets","ets"
"37","naive","naive","naive","naive"
"38","snaive","snaive","snaive","snaive"
"39","arima","snaive","arima","arima"
"40","nnet","ets","nnet","nnet"
"41","arima","arima","arima","arima"
"42","naive","naive","naive","naive"
"43","snaive","nnet","nnet","nnet"
"44","snaive","snaive","snaive","snaive"
"45","snaive","snaive","snaive","snaive"
"46","naive","naive","naive","naive"
"47","nnet","nnet","nnet","nnet"
"48","snaive","snaive","snaive","snaive"
"49","arima","arima","arima","arima"
"50","arima","arima","arima","arima"
"51","ets","ets","ets","ets"
"52","ets","ets","ets","ets"
"53","arima","arima","arima","arima"
"54","nnet","nnet","nnet","nnet"
"55","arima","arima","arima","arima"
"56","ets","ets","ets","ets"
"57","ets","ets","ets","ets"
"58","ets","ets","ets","ets"
"59","ets","ets","ets","ets"
"60","snaive","snaive","snaive","snaive"
"61","naive","naive","naive","naive"
"62","naive","naive","naive","naive"
"63","snaive","snaive","snaive","snaive"
"64","ets","ets","ets","ets"
"65","nnet","ets","nnet","nnet"
"66","arima","arima","arima","arima"
"67","snaive","snaive","snaive","snaive"
"68","nnet","nnet","nnet","nnet"
"69","ets","ets","ets","ets"
"70","ets","ets","ets","ets"
"71","arima","arima","arima","arima"
"72","naive","snaive","naive","naive"
"73","arima","ets","arima","arima"
"74","ets","nnet","ets","ets"
"75","ets","ets","ets","ets"
"76","ets","ets","ets","ets"
"77","ets","ets","ets","ets"
"78","arima","ets","arima","arima"
"79","snaive","snaive","snaive","snaive"
"80","arima","arima","arima","arima"
"81","arima","arima","arima","arima"
"82","ets","ets","ets","ets"
"83","snaive","snaive","snaive","snaive"
"84","nnet","ets","nnet","nnet"
"85","ets","ets","ets","ets"
"86","ets","ets","ets","ets"
"87","ets","ets","ets","ets"
"88","ets","ets","ets","ets"
"89","ets","ets","ets","ets"
"90","snaive","snaive","snaive","snaive"
"91","nnet","arima","nnet","nnet"
"92","arima","arima","arima","arima"
"93","naive","naive","naive","naive"
"94","arima","arima","arima","arima"
"95","arima","arima","arima","arima"
"96","arima","arima","arima","arima"
"97","arima","arima","arima","arima"
"98","ets","ets","ets","ets"
"99","arima","arima","arima","arima"
"100","arima","arima","arima","arima"
"101","nnet","ets","nnet","nnet"
"102","snaive","snaive","snaive","snaive"
"103","nnet","nnet","nnet","nnet"
"104","naive","naive","naive","naive"
"105","arima","ets","arima","arima"
"106","arima","arima","arima","arima"
"107","ets","ets","ets","ets"
"108","ets","ets","ets","ets"
"109","nnet","naive","nnet","nnet"
"110","arima","arima","arima","arima"
"111","nnet","nnet","nnet","nnet"
"112","ets","ets","ets","ets"
"113","ets","ets","ets","ets"
"114","snaive","snaive","snaive","snaive"
"115","ets","ets","ets","ets"
"116","ets","ets","ets","ets"
"117","snaive","snaive","snaive","snaive"
"118","naive","naive","naive","naive"
"119","naive","naive","naive","naive"
"120","ets","ets","ets","ets"
"121","naive","naive","naive","naive"
"122","naive","naive","naive","naive"
"123","arima","arima","arima","arima"
"124","ets","ets","naive","naive"
"125","ets","ets","ets","ets"
"126","ets","ets","ets","ets"
"127","arima","ets","ets","ets"
"128","snaive","snaive","snaive","snaive"
"129","snaive","snaive","snaive","snaive"
"130","arima","arima","arima","arima"
"131","nnet","nnet","nnet","nnet"
"132","arima","arima","arima","arima"
"133","arima","arima","arima","arima"
"134","arima","arima","arima","arima"
"135","arima","arima","arima","arima"
"136","nnet","nnet","nnet","nnet"
"137","nnet","nnet","nnet","nnet"
"138","naive","naive","naive","naive"
"139","naive","naive","naive","naive"
"140","ets","ets","ets","ets"
"141","ets","ets","ets","ets"
"142","ets","ets","ets","ets"
"143","ets","ets","ets","ets"
"144","naive","naive","naive","naive"
"145","nnet","nnet","nnet","nnet"
"146","ets","ets","ets","ets"
"147","nnet","nnet","nnet","nnet"
"148","naive","naive","naive","naive"
"149","ets","ets","ets","ets"
"150","naive","naive","naive","naive"
"151","ets","ets","ets","ets"
"152","naive","naive","naive","naive"
"153","ets","ets","ets","ets"
"154","arima","arima","arima","arima"
"155","naive","naive","naive","naive"
"156","naive","naive","naive","naive"
"157","naive","naive","naive","naive"
"158","naive","naive","naive","naive"
"159","arima","arima","arima","arima"
"160","nnet","ets","nnet","nnet"
"161","naive","naive","naive","naive"
"162","ets","ets","ets","ets"
"163","ets","ets","ets","ets"
"164","ets","ets","ets","ets"
"165","ets","ets","ets","ets"
"166","ets","ets","ets","ets"
"167","nnet","nnet","nnet","nnet"
"168","ets","ets","ets","ets"
"169","ets","ets","ets","ets"
"170","ets","ets","ets","ets"
"171","naive","naive","naive","naive"
"172","ets","ets","ets","ets"
"173","ets","ets","ets","ets"
"174","ets","ets","ets","ets"
"175","arima","arima","arima","arima"
"176","naive","naive","naive","naive"
"177","ets","ets","ets","ets"
"178","naive","naive","naive","naive"
"179","naive","naive","naive","naive"
"180","ets","ets","ets","ets"
"181","ets","ets","ets","ets"
"182","naive","nnet","naive","naive"
"183","ets","ets","ets","ets"
"184","naive","naive","naive","naive"
"185","ets","ets","ets","ets"
"186","naive","ets","naive","naive"
"187","naive","naive","naive","naive"
"188","naive","naive","naive","naive"
"189","nnet","nnet","nnet","nnet"
"190","snaive","snaive","snaive","snaive"
"191","snaive","snaive","snaive","snaive"
"192","naive","nnet","naive","naive"
"193","ets","nnet","ets","ets"
"194","snaive","ets","ets","ets"
"195","arima","arima","arima","arima"
"196","nnet","nnet","nnet","nnet"
"197","ets","ets","ets","ets"
