"","X","mtry2","mtry6","mtry10","mtry15","mtry20","max"
"1",1,0.370671672924489,0.373591989987484,0.375052148518982,0.366499791405924,0.371297455152274,"NULL"
"2",2,0.342720066750104,0.34209428452232,0.342720066750104,0.340008343763037,0.34209428452232,"NULL"
"3",3,0.366291197329996,0.362536503963287,0.363996662494785,0.366082603254068,0.361702127659574,"NULL"
"4",4,0.357947434292866,0.354609929078014,0.353358364622445,0.359407592824364,0.348143512724239,"NULL"
"5",5,0.331873174801836,0.336253650396329,0.332290362953692,0.337088026700042,0.334584897788903,"NULL"
"6",6,0.312056737588652,0.316854401335002,0.321443471005423,0.314351272423863,0.314977054651648,"NULL"
"7",7,0.350646641635378,0.354609929078014,0.357321652065081,0.34918648310388,0.353149770546516,"NULL"
"8",8,0.35982478097622,0.366499791405924,0.362953692115144,0.366082603254068,0.362327909887359,"NULL"
"9",9,0.328744263662912,0.332290362953692,0.322069253233208,0.321652065081352,0.323529411764706,"NULL"
"10",10,0.310805173133083,0.298915310805173,0.299749687108886,0.296829370045891,0.294117647058824,"NULL"
