"1", "2", "3", "4", "5"
0.236, 0.138, 0.078, 0.238, 0.31
0.148, 0.126, 0.392, 0.156, 0.178
0.146, 0.188, 0.334, 0.13, 0.202
0.046, 0.114, 0.064, 0.092, 0.684
0.206, 0.17, 0.484, 0.094, 0.046
0.186, 0.17, 0.082, 0.332, 0.23
0.296, 0.304, 0.096, 0.268, 0.036
0.102, 0.274, 0.072, 0.476, 0.076
0.032, 0.036, 0.858, 0.056, 0.018
0.344, 0.28, 0.082, 0.18, 0.114
0.228, 0.176, 0.23, 0.27, 0.096
0.084, 0.406, 0.346, 0.108, 0.056
0.224, 0.496, 0.034, 0.142, 0.104
0.23, 0.198, 0.116, 0.356, 0.1
0.372, 0.26, 0.086, 0.244, 0.038
0.144, 0.1, 0.592, 0.126, 0.038
0.258, 0.26, 0.022, 0.372, 0.088
0.164, 0.286, 0.188, 0.218, 0.144
0.288, 0.224, 0.142, 0.266, 0.08
0.252, 0.35, 0.134, 0.178, 0.086
0.132, 0.186, 0.274, 0.256, 0.152
0.16, 0.184, 0.188, 0.334, 0.134
0.114, 0.172, 0.31, 0.28, 0.124
0.14, 0.126, 0.184, 0.402, 0.148
0.24, 0.338, 0.062, 0.224, 0.136
0.13, 0.078, 0.526, 0.162, 0.104
0.164, 0.358, 0.112, 0.142, 0.224
0.33, 0.308, 0.158, 0.162, 0.042
0.218, 0.176, 0.158, 0.298, 0.15
0.044, 0.146, 0.576, 0.164, 0.07
0.124, 0.252, 0.328, 0.178, 0.118
0.204, 0.196, 0.222, 0.248, 0.13
0.218, 0.426, 0.02, 0.16, 0.176
0.368, 0.234, 0.116, 0.146, 0.136
0.14, 0.268, 0.236, 0.224, 0.132
0.55, 0.13, 0.034, 0.266, 0.02
0.218, 0.27, 0.212, 0.182, 0.118
0.094, 0.126, 0.044, 0.12, 0.616
0.126, 0.32, 0.354, 0.114, 0.086
0.332, 0.172, 0.18, 0.226, 0.09
0.174, 0.112, 0.248, 0.218, 0.248
0.22, 0.246, 0.142, 0.198, 0.194
0.098, 0.114, 0.11, 0.53, 0.148
0.252, 0.236, 0.136, 0.192, 0.184
0.15, 0.222, 0.186, 0.284, 0.158
0.292, 0.146, 0.27, 0.174, 0.118
0.592, 0.128, 0.068, 0.164, 0.048
0.098, 0.104, 0.306, 0.278, 0.214
0.092, 0.244, 0.186, 0.256, 0.222
0.106, 0.128, 0.466, 0.178, 0.122
0.224, 0.384, 0.04, 0.146, 0.206
0.212, 0.18, 0.316, 0.19, 0.102
0.094, 0.228, 0.2, 0.184, 0.294
0.202, 0.124, 0.15, 0.348, 0.176
0.232, 0.308, 0.238, 0.05, 0.172
0.27, 0.118, 0.078, 0.502, 0.032
0.394, 0.11, 0.056, 0.366, 0.074
0.218, 0.26, 0.194, 0.182, 0.146
0.154, 0.142, 0.246, 0.24, 0.218
0.144, 0.124, 0.144, 0.54, 0.048
0.082, 0.096, 0.17, 0.598, 0.054
0.07, 0.086, 0.048, 0.768, 0.028
0.23, 0.248, 0.166, 0.284, 0.072
0.228, 0.188, 0.236, 0.148, 0.2
0.464, 0.086, 0.104, 0.156, 0.19
0.428, 0.35, 0.048, 0.144, 0.03
0.102, 0.142, 0.18, 0.504, 0.072
0.154, 0.226, 0.226, 0.244, 0.15
0.276, 0.206, 0.142, 0.214, 0.162
0.182, 0.146, 0.334, 0.208, 0.13
0.322, 0.086, 0.022, 0.162, 0.408
0.876, 0.074, 0, 0.016, 0.034
0.206, 0.388, 0.118, 0.144, 0.144
0.158, 0.14, 0.284, 0.098, 0.32
0.276, 0.296, 0.15, 0.12, 0.158
0.01, 0.116, 0.858, 0.008, 0.008
0.352, 0.214, 0.17, 0.168, 0.096
0.074, 0.084, 0.202, 0.146, 0.494
0.64, 0.192, 0.038, 0.084, 0.046
0.17, 0.154, 0.13, 0.254, 0.292
0.014, 0.888, 0.048, 0.012, 0.038
0.17, 0.072, 0.078, 0.59, 0.09
0.21, 0.202, 0.198, 0.082, 0.308
0.168, 0.278, 0.096, 0.294, 0.164
0.2, 0.13, 0.244, 0.332, 0.094
0.324, 0.21, 0.166, 0.22, 0.08
0.194, 0.368, 0.05, 0.256, 0.132
0.064, 0.116, 0.098, 0.184, 0.538
0.12, 0.186, 0.122, 0.482, 0.09
0.27, 0.334, 0.168, 0.148, 0.08
0.206, 0.15, 0.23, 0.242, 0.172
0.118, 0.096, 0.218, 0.432, 0.136
0.26, 0.204, 0.1, 0.174, 0.262
0.106, 0.104, 0.13, 0.566, 0.094
0.172, 0.116, 0.114, 0.542, 0.056
0.236, 0.152, 0.19, 0.22, 0.202
0.116, 0.15, 0.076, 0.558, 0.1
0.08, 0.172, 0.588, 0.126, 0.034
0.292, 0.18, 0.034, 0.262, 0.232
0.136, 0.24, 0.14, 0.212, 0.272
0.218, 0.23, 0.104, 0.244, 0.204
0.29, 0.246, 0.244, 0.144, 0.076
0.246, 0.128, 0.36, 0.192, 0.074
0.116, 0.134, 0.206, 0.352, 0.192
0.522, 0.138, 0.05, 0.124, 0.166
0.194, 0.21, 0.428, 0.07, 0.098
0.19, 0.17, 0.11, 0.164, 0.366
0.148, 0.136, 0.038, 0.094, 0.584
0.282, 0.204, 0.234, 0.16, 0.12
0.02, 0.044, 0.788, 0.094, 0.054
0.218, 0.252, 0.19, 0.18, 0.16
0.174, 0.298, 0.286, 0.166, 0.076
0.108, 0.04, 0.792, 0.05, 0.01
0.044, 0.06, 0.444, 0.24, 0.212
0.044, 0.036, 0.032, 0.202, 0.686
0.194, 0.476, 0.154, 0.09, 0.086
0.084, 0.556, 0.108, 0.15, 0.102
0.218, 0.314, 0.294, 0.122, 0.052
0.162, 0.128, 0.062, 0.616, 0.032
0.096, 0.196, 0.2, 0.408, 0.1
0.116, 0.226, 0.232, 0.238, 0.188
0.2, 0.334, 0.186, 0.176, 0.104
0.042, 0.02, 0.054, 0.038, 0.846
0.248, 0.16, 0.078, 0.476, 0.038
0.278, 0.26, 0.108, 0.266, 0.088
0.188, 0.316, 0.152, 0.218, 0.126
0.084, 0.138, 0.042, 0.59, 0.146
0.324, 0.142, 0.122, 0.126, 0.286
0.106, 0.076, 0.056, 0.248, 0.514
0.08, 0.144, 0.22, 0.452, 0.104
0.336, 0.296, 0.098, 0.116, 0.154
0.076, 0.086, 0.264, 0.47, 0.104
0.206, 0.284, 0.276, 0.17, 0.064
0.252, 0.278, 0.048, 0.132, 0.29
0.212, 0.334, 0.248, 0.148, 0.058
0.224, 0.202, 0.326, 0.168, 0.08
0.006, 0.006, 0.004, 0.978, 0.006
0.616, 0.232, 0.012, 0.058, 0.082
0.312, 0.226, 0.106, 0.168, 0.188
0.394, 0.396, 0.03, 0.054, 0.126
0.134, 0.262, 0.132, 0.154, 0.318
0.318, 0.176, 0.152, 0.164, 0.19
0.234, 0.13, 0.056, 0.154, 0.426
0.286, 0.034, 0.316, 0.062, 0.302
0.154, 0.174, 0.232, 0.298, 0.142
0.262, 0.264, 0.272, 0.172, 0.03
0.108, 0.076, 0.03, 0.75, 0.036
0.478, 0.244, 0.05, 0.138, 0.09
0.118, 0.104, 0.168, 0.536, 0.074
0.014, 0.922, 0.028, 0.014, 0.022
0.056, 0.036, 0.024, 0.032, 0.852
0.328, 0.202, 0.058, 0.342, 0.07
0.184, 0.296, 0.156, 0.178, 0.186
0.202, 0.14, 0.324, 0.212, 0.122
0.126, 0.102, 0.106, 0.396, 0.27
0.146, 0.25, 0.148, 0.376, 0.08
0.208, 0.118, 0.376, 0.194, 0.104
0.128, 0.306, 0.172, 0.218, 0.176
