"1", "2", "3", "4", "5"
0.334, 0.222, 0.14, 0.208, 0.096
0.158, 0.16, 0.54, 0.078, 0.064
0.138, 0.244, 0.27, 0.244, 0.104
0.212, 0.246, 0.296, 0.174, 0.072
0.338, 0.242, 0.112, 0.134, 0.174
0.242, 0.32, 0.128, 0.128, 0.182
0.262, 0.116, 0.206, 0.304, 0.112
0.95, 0.022, 0.004, 0.012, 0.012
0.266, 0.214, 0.22, 0.204, 0.096
0.366, 0.228, 0.038, 0.108, 0.26
0.176, 0.296, 0.032, 0.48, 0.016
0.198, 0.254, 0.236, 0.138, 0.174
0.276, 0.252, 0.138, 0.16, 0.174
0.344, 0.354, 0.062, 0.128, 0.112
0.378, 0.242, 0.172, 0.078, 0.13
0.538, 0.29, 0.05, 0.102, 0.02
0.508, 0.158, 0.096, 0.184, 0.054
0.258, 0.306, 0.268, 0.122, 0.046
0.278, 0.242, 0.174, 0.288, 0.018
0.264, 0.324, 0.094, 0.154, 0.164
0.192, 0.17, 0.206, 0.3, 0.132
0.268, 0.35, 0.078, 0.176, 0.128
0.194, 0.218, 0.022, 0.492, 0.074
0.27, 0.3, 0.134, 0.102, 0.194
0.328, 0.278, 0.144, 0.152, 0.098
0.42, 0.348, 0.066, 0.108, 0.058
0.238, 0.328, 0.14, 0.126, 0.168
0.234, 0.212, 0.104, 0.214, 0.236
0.268, 0.342, 0.086, 0.114, 0.19
0.28, 0.184, 0.186, 0.224, 0.126
0.274, 0.244, 0.116, 0.222, 0.144
0.38, 0.458, 0.052, 0.094, 0.016
0.348, 0.208, 0.244, 0.138, 0.062
0.432, 0.196, 0.02, 0.15, 0.202
0.166, 0.348, 0.014, 0.298, 0.174
0.348, 0.256, 0.084, 0.202, 0.11
0.05, 0.516, 0.258, 0.042, 0.134
0.37, 0.24, 0.172, 0.098, 0.12
0.256, 0.294, 0.172, 0.238, 0.04
0.148, 0.152, 0.166, 0.368, 0.166
0.238, 0.32, 0.08, 0.164, 0.198
0.144, 0.72, 0.03, 0.092, 0.014
0.22, 0.288, 0.172, 0.21, 0.11
0.124, 0.436, 0.2, 0.206, 0.034
0.366, 0.17, 0.11, 0.23, 0.124
0.282, 0.24, 0.214, 0.162, 0.102
0.34, 0.176, 0.228, 0.088, 0.168
0.342, 0.2, 0.144, 0.158, 0.156
0.304, 0.204, 0.154, 0.272, 0.066
0.474, 0.124, 0.172, 0.154, 0.076
0.646, 0.1, 0.102, 0.132, 0.02
0.222, 0.144, 0.298, 0.198, 0.138
0.19, 0.218, 0.27, 0.232, 0.09
0.264, 0.17, 0.208, 0.154, 0.204
0.554, 0.178, 0.08, 0.076, 0.112
0.22, 0.282, 0.134, 0.284, 0.08
0.412, 0.316, 0.152, 0.086, 0.034
0.254, 0.448, 0.006, 0.27, 0.022
0.19, 0.324, 0.186, 0.182, 0.118
0.604, 0.162, 0.082, 0.072, 0.08
0.314, 0.232, 0.042, 0.27, 0.142
0.536, 0.272, 0.064, 0.074, 0.054
0.076, 0.118, 0.134, 0.25, 0.422
0.248, 0.492, 0.074, 0.13, 0.056
0.318, 0.204, 0.21, 0.168, 0.1
0.198, 0.238, 0.308, 0.174, 0.082
0.286, 0.162, 0.136, 0.294, 0.122
0.49, 0.37, 0.036, 0.064, 0.04
0.546, 0.1, 0.044, 0.132, 0.178
0.278, 0.354, 0.114, 0.238, 0.016
0.334, 0.282, 0.1, 0.138, 0.146
0.212, 0.308, 0.236, 0.152, 0.092
0.24, 0.204, 0.166, 0.234, 0.156
0.16, 0.138, 0.28, 0.224, 0.198
0.712, 0.25, 0.006, 0.026, 0.006
0.29, 0.2, 0.294, 0.166, 0.05
0.564, 0.256, 0.022, 0.136, 0.022
0.264, 0.248, 0.214, 0.17, 0.104
0.254, 0.244, 0.15, 0.242, 0.11
0.036, 0.026, 0.044, 0.75, 0.144
0.212, 0.252, 0.23, 0.168, 0.138
0.35, 0.23, 0.096, 0.234, 0.09
0.344, 0.128, 0.074, 0.158, 0.296
0.19, 0.078, 0.1, 0.266, 0.366
0.248, 0.222, 0.186, 0.198, 0.146
0.382, 0.288, 0.174, 0.092, 0.064
0.282, 0.412, 0.062, 0.126, 0.118
0.142, 0.352, 0.21, 0.198, 0.098
0.264, 0.394, 0.154, 0.154, 0.034
0.388, 0.2, 0.218, 0.088, 0.106
0.398, 0.274, 0.05, 0.164, 0.114
0.37, 0.262, 0.094, 0.228, 0.046
0.292, 0.15, 0.16, 0.23, 0.168
0.252, 0.25, 0.346, 0.092, 0.06
0.218, 0.328, 0.13, 0.152, 0.172
0.132, 0.188, 0.254, 0.178, 0.248
0.256, 0.218, 0.25, 0.172, 0.104
0.142, 0.126, 0.066, 0.262, 0.404
0.168, 0.112, 0.526, 0.1, 0.094
0.246, 0.638, 0.008, 0.062, 0.046
0.072, 0.338, 0.522, 0.05, 0.018
0.134, 0.304, 0.34, 0.12, 0.102
0.276, 0.256, 0.088, 0.314, 0.066
0.322, 0.148, 0.274, 0.18, 0.076
0.192, 0.088, 0.142, 0.42, 0.158
0.436, 0.166, 0.134, 0.134, 0.13
0.134, 0.238, 0.314, 0.246, 0.068
0.298, 0.172, 0.212, 0.2, 0.118
0.404, 0.402, 0.048, 0.086, 0.06
0.308, 0.272, 0.058, 0.194, 0.168
0.332, 0.374, 0.046, 0.124, 0.124
0.338, 0.414, 0.006, 0.154, 0.088
0.118, 0.466, 0.178, 0.038, 0.2
0.28, 0.294, 0.126, 0.146, 0.154
0.156, 0.39, 0.1, 0.27, 0.084
0.37, 0.178, 0.158, 0.234, 0.06
0.258, 0.326, 0.102, 0.206, 0.108
0.232, 0.196, 0.28, 0.2, 0.092
0.472, 0.196, 0.164, 0.12, 0.048
0.354, 0.206, 0.19, 0.142, 0.108
0.32, 0.238, 0.184, 0.134, 0.124
0.218, 0.282, 0.128, 0.312, 0.06
0.3, 0.17, 0.168, 0.204, 0.158
0.314, 0.24, 0.082, 0.15, 0.214
0.35, 0.204, 0.146, 0.188, 0.112
0.23, 0.318, 0.2, 0.14, 0.112
0.204, 0.306, 0.158, 0.132, 0.2
0.286, 0.184, 0.202, 0.22, 0.108
0.304, 0.248, 0.16, 0.186, 0.102
0.308, 0.176, 0.082, 0.262, 0.172
0.738, 0.162, 0.022, 0.06, 0.018
0.408, 0.25, 0.126, 0.124, 0.092
0.206, 0.28, 0.202, 0.164, 0.148
0.208, 0.208, 0.158, 0.194, 0.232
0.178, 0.224, 0.254, 0.242, 0.102
0.304, 0.226, 0.29, 0.146, 0.034
0.348, 0.254, 0.072, 0.144, 0.182
0.388, 0.26, 0.106, 0.118, 0.128
0.264, 0.122, 0.176, 0.25, 0.188
0.214, 0.27, 0.192, 0.192, 0.132
0.032, 0.454, 0.154, 0.228, 0.132
0.16, 0.234, 0.162, 0.284, 0.16
0.274, 0.248, 0.076, 0.162, 0.24
0.176, 0.552, 0.094, 0.088, 0.09
0.226, 0.344, 0.17, 0.194, 0.066
0.36, 0.29, 0.176, 0.112, 0.062
0.158, 0.116, 0.25, 0.346, 0.13
0.27, 0.316, 0.118, 0.27, 0.026
0.334, 0.334, 0.092, 0.168, 0.072
0.322, 0.348, 0.066, 0.174, 0.09
0.456, 0.264, 0.17, 0.064, 0.046
0.346, 0.312, 0.062, 0.212, 0.068
0.4, 0.238, 0.144, 0.184, 0.034
0.204, 0.2, 0.196, 0.25, 0.15
0.048, 0.204, 0.324, 0.276, 0.148
0.296, 0.4, 0.056, 0.216, 0.032
0.61, 0.212, 0.068, 0.094, 0.016
0.242, 0.24, 0.248, 0.176, 0.094
0.344, 0.226, 0.104, 0.196, 0.13
0.034, 0.782, 0.04, 0.116, 0.028
0.342, 0.348, 0.102, 0.166, 0.042
0.18, 0.214, 0.232, 0.232, 0.142
0.116, 0.198, 0.194, 0.306, 0.186
0.284, 0.286, 0.012, 0.218, 0.2
0.328, 0.318, 0.152, 0.134, 0.068
0.302, 0.196, 0.184, 0.254, 0.064
0.38, 0.22, 0.116, 0.132, 0.152
0.238, 0.246, 0.262, 0.154, 0.1
0.206, 0.45, 0.106, 0.11, 0.128
0.386, 0.432, 0.02, 0.116, 0.046
0.212, 0.082, 0.07, 0.324, 0.312
0.194, 0.362, 0.14, 0.238, 0.066
0.172, 0.252, 0.186, 0.27, 0.12
0.138, 0.342, 0.112, 0.388, 0.02
0.124, 0.152, 0.2, 0.358, 0.166
0.228, 0.266, 0.236, 0.184, 0.086
0.108, 0.66, 0.138, 0.038, 0.056
0.552, 0.334, 0.016, 0.068, 0.03
0.252, 0.256, 0.2, 0.194, 0.098
0.29, 0.214, 0.184, 0.176, 0.136
0.252, 0.162, 0.248, 0.21, 0.128
0.454, 0.186, 0.028, 0.12, 0.212
0.144, 0.186, 0.194, 0.356, 0.12
0.21, 0.432, 0.09, 0.134, 0.134
0.332, 0.262, 0.09, 0.214, 0.102
0.118, 0.072, 0.09, 0.662, 0.058
0.266, 0.11, 0.234, 0.272, 0.118
0.176, 0.176, 0.048, 0.524, 0.076
0.298, 0.276, 0.164, 0.166, 0.096
0.236, 0.236, 0.224, 0.23, 0.074
0.204, 0.216, 0.188, 0.246, 0.146
0.278, 0.54, 0.058, 0.1, 0.024
0.206, 0.244, 0.14, 0.22, 0.19
0.028, 0.082, 0.134, 0.258, 0.498
0.41, 0.218, 0.128, 0.116, 0.128
0.186, 0.142, 0.258, 0.306, 0.108
0.386, 0.262, 0.166, 0.088, 0.098
0.118, 0.244, 0.29, 0.194, 0.154
0.286, 0.166, 0.394, 0.1, 0.054
0.126, 0.15, 0.27, 0.316, 0.138
0.196, 0.188, 0.248, 0.172, 0.196
0.36, 0.23, 0.172, 0.172, 0.066
0.352, 0.306, 0.106, 0.154, 0.082
0.07, 0.628, 0.062, 0.166, 0.074
0.138, 0.106, 0.032, 0.244, 0.48
0.122, 0.156, 0.516, 0.174, 0.032
0.376, 0.356, 0.058, 0.134, 0.076
0.296, 0.198, 0.216, 0.164, 0.126
0.096, 0.116, 0.534, 0.138, 0.116
0.176, 0.37, 0.112, 0.304, 0.038
0.406, 0.386, 0.014, 0.096, 0.098
0.254, 0.204, 0.16, 0.312, 0.07
0.186, 0.546, 0.072, 0.11, 0.086
0.22, 0.298, 0.176, 0.124, 0.182
0.152, 0.138, 0.074, 0.36, 0.276
0.456, 0.3, 0.018, 0.152, 0.074
0.494, 0.304, 0.044, 0.064, 0.094
0.336, 0.24, 0.208, 0.154, 0.062
0.356, 0.28, 0.15, 0.162, 0.052
0.286, 0.156, 0.04, 0.48, 0.038
0.094, 0.13, 0.05, 0.424, 0.302
0.27, 0.278, 0.12, 0.202, 0.13
0.246, 0.19, 0.292, 0.168, 0.104
0.334, 0.224, 0.144, 0.162, 0.136
0.338, 0.284, 0.126, 0.182, 0.07
0.152, 0.198, 0.222, 0.272, 0.156
0.268, 0.254, 0.24, 0.14, 0.098
0.292, 0.41, 0.04, 0.104, 0.154
0.284, 0.288, 0.06, 0.174, 0.194
0.154, 0.23, 0.238, 0.198, 0.18
0.162, 0.376, 0.306, 0.094, 0.062
0.154, 0.192, 0.328, 0.292, 0.034
0.114, 0.068, 0.064, 0.202, 0.552
0.364, 0.294, 0.142, 0.116, 0.084
0.378, 0.32, 0.024, 0.12, 0.158
0.308, 0.168, 0.204, 0.224, 0.096
0.556, 0.166, 0.016, 0.116, 0.146
0.284, 0.446, 0.096, 0.128, 0.046
0.404, 0.168, 0.19, 0.168, 0.07
0.388, 0.102, 0.322, 0.116, 0.072
0.29, 0.404, 0.03, 0.16, 0.116
0.322, 0.312, 0.042, 0.216, 0.108
0.028, 0.216, 0.494, 0.152, 0.11
0.586, 0.25, 0.022, 0.134, 0.008
0.158, 0.248, 0.192, 0.276, 0.126
0.316, 0.23, 0.152, 0.2, 0.102
0.222, 0.154, 0.18, 0.316, 0.128
0.214, 0.17, 0.37, 0.21, 0.036
0.282, 0.256, 0.2, 0.136, 0.126
0.236, 0.224, 0.11, 0.362, 0.068
0.132, 0.554, 0.076, 0.176, 0.062
0.246, 0.192, 0.216, 0.248, 0.098
0.264, 0.206, 0.16, 0.208, 0.162
0.416, 0.082, 0.108, 0.332, 0.062
0.474, 0.288, 0.054, 0.15, 0.034
0.306, 0.248, 0.05, 0.292, 0.104
0.164, 0.096, 0.156, 0.408, 0.176
0.242, 0.214, 0.154, 0.238, 0.152
0.694, 0.21, 0.042, 0.03, 0.024
0.308, 0.186, 0.162, 0.146, 0.198
0.414, 0.182, 0.074, 0.178, 0.152
0.276, 0.428, 0.052, 0.112, 0.132
0.292, 0.318, 0.296, 0.086, 0.008
0.346, 0.21, 0.032, 0.106, 0.306
0.336, 0.33, 0.03, 0.174, 0.13
0.07, 0.142, 0.252, 0.302, 0.234
0.33, 0.322, 0.076, 0.23, 0.042
0.038, 0.068, 0.152, 0.388, 0.354
0.21, 0.348, 0.208, 0.136, 0.098
0.192, 0.212, 0.298, 0.202, 0.096
0.174, 0.244, 0.202, 0.256, 0.124
0.332, 0.188, 0.262, 0.106, 0.112
0.154, 0.276, 0.216, 0.176, 0.178
0.19, 0.338, 0.114, 0.124, 0.234
0.196, 0.232, 0.13, 0.312, 0.13
0.066, 0.152, 0.13, 0.258, 0.394
0.21, 0.216, 0.224, 0.208, 0.142
0.294, 0.482, 0.054, 0.124, 0.046
0.256, 0.442, 0.022, 0.166, 0.114
0.64, 0.286, 0.016, 0.044, 0.014
0.234, 0.156, 0.19, 0.292, 0.128
0.164, 0.542, 0.186, 0.042, 0.066
0.144, 0.156, 0.24, 0.14, 0.32
0.164, 0.288, 0.184, 0.256, 0.108
0.258, 0.248, 0.188, 0.232, 0.074
0.206, 0.26, 0.178, 0.196, 0.16
0.26, 0.114, 0.164, 0.376, 0.086
0.322, 0.242, 0.056, 0.162, 0.218
0.162, 0.422, 0.192, 0.114, 0.11
0.148, 0.204, 0.032, 0.584, 0.032
0.346, 0.358, 0.102, 0.134, 0.06
0.406, 0.14, 0.222, 0.106, 0.126
0.38, 0.336, 0.046, 0.168, 0.07
0.12, 0.226, 0.002, 0.594, 0.058
0.282, 0.24, 0.182, 0.252, 0.044
0.152, 0.27, 0.172, 0.304, 0.102
0.74, 0.122, 0.032, 0.086, 0.02
0.216, 0.312, 0.19, 0.214, 0.068
0.342, 0.156, 0.162, 0.27, 0.07
0.082, 0.174, 0.314, 0.158, 0.272
0.342, 0.25, 0.168, 0.13, 0.11
0.354, 0.228, 0.088, 0.084, 0.246
0.298, 0.302, 0.146, 0.14, 0.114
0.482, 0.29, 0.054, 0.13, 0.044
0.306, 0.364, 0.014, 0.198, 0.118
0.294, 0.282, 0.18, 0.144, 0.1
0.384, 0.256, 0.136, 0.11, 0.114
0.782, 0.07, 0.058, 0.08, 0.01
0.148, 0.682, 0.104, 0.03, 0.036
0.264, 0.3, 0.218, 0.126, 0.092
0.28, 0.172, 0.218, 0.16, 0.17
0.324, 0.136, 0.158, 0.16, 0.222
0.278, 0.198, 0.232, 0.17, 0.122
0.264, 0.156, 0.066, 0.47, 0.044
0.294, 0.268, 0.12, 0.29, 0.028
0.21, 0.234, 0.316, 0.144, 0.096
0.284, 0.384, 0.104, 0.16, 0.068
0.27, 0.262, 0.224, 0.158, 0.086
0.264, 0.232, 0.39, 0.074, 0.04
0.188, 0.26, 0.208, 0.23, 0.114
0.242, 0.284, 0.164, 0.162, 0.148
0.192, 0.198, 0.158, 0.32, 0.132
0.364, 0.144, 0.126, 0.256, 0.11
0.226, 0.264, 0.196, 0.14, 0.174
0.038, 0.688, 0.188, 0.062, 0.024
0.38, 0.226, 0.054, 0.18, 0.16
0.326, 0.348, 0.052, 0.194, 0.08
0.37, 0.15, 0.194, 0.138, 0.148
0.432, 0.24, 0.018, 0.156, 0.154
0.062, 0.604, 0.004, 0.042, 0.288
0.24, 0.126, 0.296, 0.216, 0.122
0.248, 0.376, 0.106, 0.238, 0.032
0.262, 0.368, 0.046, 0.18, 0.144
0.348, 0.212, 0.198, 0.176, 0.066
0.212, 0.258, 0.244, 0.196, 0.09
0.332, 0.272, 0.096, 0.258, 0.042
