ID_Serie;mae_0ive;mae_S0ive;mae_mae;mae_ETS;mae_NNetar
1;1732.777778;860;687.075218;604.6540106;1299.719575
2;685.5555556;373.3333333;237.9699658;288.4788093;584.0693457
3;569.8333333;697.6111111;297.1762976;226.2224437;449.7284952
4;148.8333333;231.3888889;148.8333333;148.9294244;171.6877412
5;59.44444444;95.55555556;74.26923762;59.98013516;88.62955332
6;922.2222222;1527.777778;913.2111054;535.9288424;826.6143803
7;129.6666667;241.0555556;134.54731;48.96308856;212.0636727
8;125.3888889;261.8333333;80.21567947;82.46079563;118.4209329
9;215;207.7777778;117.2632136;290.844314;81.1074781
10;872.7777778;1300.555556;708.7169912;872.9446065;941.9235158
11;438.2222222;139.7222222;77.6768528;217.0503104;106.0203787
12;22.05555556;36.05555556;48.41645295;57.84527739;50.22555678
13;14.20555556;25.68333333;10.65462764;48.12302024;60.50398302
14;275.7777778;31.22222222;12.12046329;10.26000721;31.69522859
15;22.41666667;6.2;3.193194397;8.800386157;20.9074582
16;332.3888889;107.6111111;55.77560774;115.039848;75.8366226
17;429.4222222;33.37777778;30.73444769;48.66136875;59.258772
18;146.2333333;85.96666667;52.2484785;60.52643349;51.3659394
19;943.8888889;523.3333333;499.5358975;448.2996458;467.8574757
20;655.5555556;616.6666667;679.8867795;1567.114081;413.719124
21;485;243.8888889;204.9132846;184.5444658;171.9437216
22;321.6666667;219.4444444;196.217978;200.6373767;216.5086784
23;2033.333333;661.1111111;511.3940491;677.1849929;744.7280464
24;351;644.2222222;61.04037276;319.030731;388.2154624
25;232.4222222;431.5555556;46.9252949;29.94912764;236.7246976
26;785.9366667;1264.354444;136.8240003;127.9179169;444.1071942
27;88.28794444;250.1596667;289.1214254;63.13718277;29.64676195
28;214.1916667;325.3;260.0841608;83.42716437;316.7921351
29;1083.616667;601.8888889;1156.288225;713.8114428;982.3109368
30;211.2722222;221.0166667;211.2410603;170.6700122;228.1731948
31;318.4388889;444.2777778;388.4134957;386.3407424;504.000548
32;221.6555556;247.7222222;355.9751747;264.8402157;271.7891026
33;708.2388889;688.6888889;481.7872258;973.0562936;1225.468667
34;610.4833333;447.1555556;423.0482418;335.7368641;350.8236683
35;112.8361111;444.1844444;234.4089703;118.4174139;407.6250118
36;379.45;253.6222222;367.3241037;252.8973649;255.9749841
37;543.5888889;679.9555556;988.686389;962.7211805;1106.900623
38;541.1555556;438.8388889;623.8842643;614.7995736;792.7127135
39;109.6988889;65.57166667;65.15277095;86.80413095;91.28671898
40;686.5444444;515.4722222;627.1290139;534.3038123;502.5801245
41;830.1111111;439.3333333;169.5476465;216.6066038;453.3646964
42;220.0444444;518.5444444;234.2966368;222.2030997;308.0992348
43;568.3333333;558.8888889;675.1660464;688.9452102;542.5939634
44;172.3333333;129.8333333;157.0154765;165.6529668;290.8853447
45;159.1111111;109.8888889;197.0987585;156.6123249;261.1243854
46;294.4444444;550;304.7652769;303.1069517;373.9116725
47;1928.888889;622.7777778;2080.742438;1879.49508;499.5458261
48;370.3888889;87.83333333;137.3767246;110.7036199;396.8727843
49;66.55555556;118.7777778;51.43561151;59.2393519;98.85749196
50;160.2222222;95.11111111;51.70277917;68.39405121;85.58653099
51;91.88888889;105.8333333;63.14410941;35.26001392;57.20929771
52;200.0555556;183.7222222;123.012508;99.18900704;221.8483959
53;281.6666667;277.7777778;208.7183513;237.0014224;353.5181283
54;427.2222222;746.1111111;500.5635185;433.5091786;289.2250557
55;173.6111111;160.0555556;101.7979576;108.1814733;217.6373487
56;440.5555556;427.7777778;305.5565768;296.5906065;355.9821892
57;532.2222222;517.2222222;425.6819622;406.262991;472.7948326
58;992.2222222;503.3333333;1071.692968;427.3155174;783.367543
59;1213.333333;534.4444444;754.5528346;413.567309;787.547816
60;814.4444444;290.5555556;471.0210836;428.7406386;491.7938977
61;585.5555556;769.4444444;715.2300464;867.7226057;801.4463514
62;482.7777778;571.6666667;495.7745605;493.6252313;514.7586909
63;555.5555556;514.4444444;540.4226179;563.81079;585.1678109
64;356.1111111;474.4444444;373.9916153;321.0645362;486.1991702
65;511.1111111;524.4444444;493.5749146;475.8239855;470.5353155
66;451.1111111;491.6666667;445.4078621;455.2234117;452.2818345
67;526.1111111;473.8888889;531.7888995;529.0153277;517.3802491
68;463.8888889;453.3333333;471.3385191;445.5074344;428.1152395
69;335;662.7777778;384.1152298;334.6775735;398.9388761
70;600.5555556;745;611.9320583;557.3698788;677.4451463
71;524.4444444;536.1111111;431.4779645;555.2414744;1190.136364
72;341.1111111;355;386.0316329;383.9213833;405.6454451
73;319.4444444;748.3333333;262.448917;263.1877318;424.5571953
74;319.4444444;427.2222222;262.3723401;261.9188568;280.6336034
75;544.4444444;424.4444444;325.551667;323.7248285;351.418909
76;586.6666667;526.1111111;547.2101623;504.4857946;564.6384896
77;546.6666667;527.7777778;396.5613901;393.8616628;445.6982245
78;608.8888889;536.6666667;477.5337612;512.3900265;545.5435747
79;506.6666667;470.5555556;526.8064585;504.4444444;491.4506187
80;1391.111111;616.6666667;507.1909244;515.7733629;536.3497006
81;511.6666667;607.7777778;462.6816293;471.1337295;630.5569107
82;513.3333333;493.3333333;315.9108878;308.75878;434.6330669
83;343.3333333;313.8888889;343.3333333;343.3333333;591.2527058
84;420;351.6666667;251.1111111;252.4246218;250.1091277
85;305;275;257.0127575;256.683753;745.6313562
86;536.0557556;523.9004722;547.4488731;465.4537563;485.1218895
87;181.1111111;98.88888889;145.8461191;84.4508193;120.4900401
88;167.7777778;102.2222222;124.2127673;80.27603983;94.45090938
89;81.70455556;134.7275556;79.00489001;57.55003294;102.7835148
90;689.2977778;428.7572222;650.4109175;740.8209352;777.7103339
91;65.29722222;58.53388889;36.80100039;47.99217402;36.20821067
92;293.8355556;440.03;38.08987835;47.34195441;150.8142311
93;497.9316667;632.3805556;636.5292;618.809309;864.8002378
94;109.6777778;185.5888889;19.52817142;44.57967972;93.56491801
95;800.0555556;248.9444444;172.279086;473.3969007;206.9483997
96;45.01111111;65.51111111;11.36202759;24.45895102;45.42689492
97;746.6666667;512.7777778;358.9386764;375.5924977;403.5686144
98;124.5111111;197.8722222;71.73272437;37.85123065;103.395543
99;470.2777778;526.1666667;458.6178283;1004.511001;476.7178355
100;95.06111111;102.4666667;31.96127636;51.01988728;97.5264234
101;97.86666667;277.5277778;82.71163413;75.15970835;56.69724862
102;1586.666667;663.8888889;2486.55061;2328.02068;1221.043758
103;710.8333333;857.4444444;720.6855529;969.2093088;602.7720552
104;60.44444444;69.88888889;130.5230469;64.17179119;69.06530498
105;35.33333333;88.05555556;17.17276035;17.75198995;24.85055105
106;33.61111111;67.77777778;12.53017287;13.6156581;14.67012375
107;104.3888889;241.5555556;38.03168203;27.98815559;32.05005719
108;171.8333333;423.6666667;56.14336482;48.94267901;95.71670397
109;211.1111111;407.2222222;211.1111111;211.2128461;207.3140458
110;126.1111111;368.7777778;29.09010744;48.08414818;68.51157349
111;90.27777778;229.7222222;90.27777778;90.28490195;76.61253817
112;121;218.8333333;51.06180096;37.3057047;98.21902661
113;86.11111111;225.1111111;90.38457135;30.65362454;60.03500125
114;610.5;569.1666667;671.1497241;619.2038879;767.9028746
115;12.16666667;15.22222222;11.4456622;10.34628116;34.40635892
