ID_Serie;rmse_0ive;rmse_S0ive;rmse_Arima;rmse_ETS;rmse_NNetar
1;1873.308126;999.5276662;774.8112605;714.4132509;1459.653408
2;739.2563831;462.5773209;276.6535948;329.0878277;639.4850502
3;599.5647959;725.8569265;319.0379275;245.4046447;473.1285921
4;167.4602772;248.2607276;167.4602772;167.5456857;189.677748
5;73.21960879;107.0306291;89.26088522;73.92366905;105.0225148
6;1038.695763;1603.988085;1017.117026;638.30449;916.317197
7;148.466981;250.7567436;147.8923014;57.15370217;232.1371764
8;146.4591335;273.6487002;92.17508364;90.89819805;138.9960664
9;251.4513428;233.9040639;143.1992425;324.4752526;96.14776643
10;982.7540667;1372.991462;800.0368907;982.9022292;1061.498851
11;505.7228051;160.6170394;95.36618052;249.4360065;128.1608198
12;27.50050505;40.95322535;54.4820765;63.87048606;53.92928841
13;16.15392969;28.55628944;12.68209799;52.62980311;65.92716149
14;316.2558739;35.6806826;14.39745117;12.71822648;37.22038613
15;25.13402961;7.352323896;3.723803527;11.59258848;23.92657385
16;477.4239323;126.2741726;70.07975984;133.8762143;100.4496652
17;549.4343172;45.93651416;36.11710771;59.27788362;76.10771573
18;161.6656323;94.44048685;58.98650566;69.17544627;70.71671511
19;1179.498481;728.9261508;602.4162407;543.1801942;668.1726033
20;923.7604307;743.4902674;869.7247272;1979.293456;520.7243678
21;545.9802601;332.2398732;272.1431429;239.9548252;237.0538944
22;401.0056802;296.0386611;254.1567806;267.8068371;300.3574101
23;2444.040371;830.3279138;647.745854;865.1479304;994.5730588
24;406.6558742;685.5662704;70.30559078;360.5889441;457.0187667
25;268.8329386;459.786831;57.28651814;41.52705966;294.8283191
26;910.0324497;1361.573056;191.8410729;168.1209415;544.4606637
27;103.9748019;253.4346293;368.6533702;95.47128465;41.35366992
28;246.8786434;346.8003027;292.887351;104.5017614;353.9916132
29;1546.594282;815.2564402;1324.558828;910.7314894;1179.474978
30;247.3408299;281.3704981;244.2119236;220.4787842;272.4302383
31;406.0659792;531.2204177;464.7214137;442.9644648;583.3120219
32;305.347909;357.2067313;427.8505857;342.446185;354.6889983
33;892.540991;941.587399;623.2284144;1116.248726;1372.687807
34;730.8511868;517.1671812;478.8992626;404.2037242;412.2869014
35;144.9746087;485.5260983;268.5103835;137.8394453;436.843288
36;422.6852329;286.1586021;411.3049798;286.4941026;328.4248415
37;663.6213772;815.4203558;1090.929728;1036.327718;1233.762096
38;666.8027278;488.09013;758.5136973;740.8357244;915.5843699
39;137.1001933;88.00919658;89.65491504;100.458704;115.0226567
40;764.8688384;649.5505296;720.3814813;594.7460106;615.6997728
41;1021.690701;479.2266919;206.5205975;265.7214118;596.6336413
42;273.3451786;577.3739872;285.5780489;275.5212328;368.7922323
43;728.6174122;711.1805522;704.5053358;721.91719;592.697788
