ID_Serie;sMape_0ive;sMape_S0ive;sMape_Arima;sMape_ETS;sMape_NNetar
1;0.283703491;0.154654226;0.124063125;0.111215785;0.218161106
2;0.336901397;0.187876609;0.135168807;0.160640547;0.29292305
3;0.041985963;0.05173434;0.021675975;0.016480729;0.032985398
4;0.022976622;0.035419295;0.022976622;0.02299124;0.026446922
5;0.013618697;0.021691065;0.017055016;0.013741618;0.020436892
6;0.08528511;0.136504437;0.084493537;0.050753981;0.076860594
7;0.124122136;0.215923908;0.128215755;0.049180008;0.19334191
8;0.095797293;0.187144792;0.062629422;0.064276611;0.090776881
9;0.042027639;0.040285636;0.022774623;0.055703109;0.015902981
10;0.143713517;0.205004581;0.118747492;0.143738513;0.15396612
11;0.035114093;0.011279164;0.006255522;0.017417145;0.008432306
12;0.007935899;0.013030771;0.017554328;0.021018326;0.017893811
13;0.006534453;0.011866402;0.004903334;0.022411626;0.027366518
14;0.054801661;0.00619578;0.002361435;0.002007454;0.006222125
15;0.008362235;0.002320634;0.001196735;0.003277574;0.007800247
16;0.023716468;0.00769622;0.003995576;0.008208722;0.00544263
17;0.056573318;0.004590027;0.004065451;0.006538455;0.00797442
18;0.02276648;0.013521374;0.008197914;0.009483295;0.007969366
19;0.246320339;0.136617513;0.137030525;0.123685508;0.116761277
20;0.161823121;0.1802685;0.16833834;0.334653199;0.106695165
21;0.275281087;0.139955314;0.110775699;0.105304189;0.09844987
22;0.278724398;0.186722525;0.171262791;0.142382577;0.180680419
23;0.301847191;0.098195096;0.076969784;0.098708789;0.107306887
24;0.028697588;0.053508231;0.00493048;0.026082394;0.031807691
25;0.034672884;0.065652501;0.006864067;0.004410487;0.035351258
26;0.04262112;0.069772596;0.007204552;0.006750788;0.023765014
27;0.026150538;0.07192276;0.093025734;0.019207838;0.008910858
28;0.091854032;0.133285384;0.108415727;0.036400965;0.13134175
29;0.110958961;0.060267256;0.113521634;0.071867356;0.098519837
30;0.083379386;0.085352788;0.083233861;0.068520799;0.089442688
31;0.061350317;0.082637493;0.074028581;0.073415638;0.094602033
32;0.063486965;0.069017031;0.098714668;0.074361632;0.076614569
33;0.036301534;0.03449105;0.024654298;0.048967561;0.061749028
34;0.126097374;0.094618425;0.089588554;0.072444523;0.074747026
35;0.047316095;0.16876941;0.104928916;0.049158778;0.159476478
36;0.096494381;0.064700768;0.093394267;0.064605442;0.065364923
37;0.050392508;0.061860772;0.088288891;0.086248531;0.098756089
38;0.090343483;0.075064069;0.102165285;0.100864613;0.128047505
39;0.044240268;0.026300666;0.025787573;0.034491194;0.036807832
40;0.142418717;0.109493939;0.130432321;0.111987263;0.107514621
41;0.138366738;0.078473091;0.030232745;0.03691721;0.075363689
42;0.031988883;0.077790332;0.034116969;0.032309592;0.045249587
43;0.081097467;0.074865473;0.101356021;0.102406077;0.079112574
44;0.117444782;0.087482602;0.106292043;0.112539017;0.211247597
45;0.127658855;0.09555788;0.155498926;0.125792286;0.199941491
46;0.089770837;0.175700984;0.092555294;0.092252965;0.116196586
47;0.389027589;0.145384055;0.411989628;0.380704928;0.118308181
48;0.322177317;0.093028333;0.128622605;0.10424412;0.331820593
49;0.05672735;0.108372368;0.044282777;0.050624755;0.081750118
50;0.160791827;0.105671878;0.053085704;0.076467978;0.08667879
51;0.105056426;0.128603606;0.073598283;0.039486657;0.063488802
52;0.056695721;0.051852255;0.034426033;0.027636716;0.063114118
53;0.126467805;0.12491194;0.092007015;0.105301711;0.161770916
54;0.080474481;0.148883191;0.095024966;0.08171125;0.054516891
55;0.058083632;0.054145823;0.033479413;0.035652844;0.073551589
56;0.067589843;0.063581855;0.046418043;0.04504857;0.053686645
57;0.081402544;0.079878275;0.065525085;0.062347594;0.073879986
58;0.289409046;0.13124865;0.318935832;0.111327824;0.221906007
59;0.187514381;0.090078902;0.122376233;0.070208677;0.126803443
60;0.115260461;0.044125916;0.068973949;0.06290754;0.072497022
61;0.204034125;0.243764599;0.240361576;0.283585573;0.26860382
62;0.115602818;0.135890908;0.118696937;0.118167407;0.123049171
63;0.150508885;0.138880914;0.146742284;0.15247149;0.157719393
64;0.045935614;0.061782871;0.048339689;0.041366309;0.063874067
65;0.148974594;0.151313921;0.143393127;0.138421953;0.136507432
66;0.082767371;0.091467678;0.081702818;0.083540082;0.082951289
67;0.118459183;0.106499572;0.119675323;0.117757936;0.116551812
68;0.105452919;0.105995102;0.107164462;0.101965507;0.09731605
69;0.06019679;0.115634358;0.068821073;0.06013939;0.071358668
70;0.144601697;0.176442655;0.147313334;0.134024258;0.16854689
71;0.102931933;0.10172453;0.083561883;0.110740239;0.268713549
72;0.139663426;0.142566877;0.162081924;0.163718949;0.169640539
73;0.067372906;0.151837989;0.054707903;0.05486726;0.088316489
74;0.043219681;0.058026579;0.035330769;0.035268787;0.037798852
75;0.082215416;0.061571398;0.04822321;0.047950326;0.052036113
76;0.090610539;0.081394029;0.084775526;0.078042975;0.087681639
77;0.094118486;0.088995153;0.067608886;0.067296951;0.075939723
78;0.138613618;0.12000479;0.106034182;0.114419048;0.122278358
79;0.118188274;0.111860208;0.12218377;0.117875991;0.114824079
80;0.287247842;0.142223814;0.120451237;0.122534322;0.126296916
81;0.20127736;0.232766418;0.183218226;0.194650956;0.259903991
82;0.106131657;0.098193045;0.064081095;0.062651011;0.086593992
83;0.097748839;0.091005914;0.097745747;0.097745638;0.159656275
84;0.089341907;0.072884918;0.052165736;0.052444285;0.051958254
85;0.057090655;0.051052786;0.04800777;0.047946386;0.129089164
86;0.057577235;0.057780029;0.060302584;0.050379986;0.052537883
87;0.021624096;0.011928487;0.017214232;0.009969695;0.014454512
88;0.019771312;0.012188932;0.014509075;0.009519729;0.011192013
89;0.071599946;0.113320494;0.068829434;0.050663986;0.088796857
90;0.059430025;0.03829412;0.055624092;0.062677866;0.066433219
91;0.040835701;0.03696448;0.022947471;0.030151067;0.022743325
92;0.037289603;0.056584865;0.00478023;0.005953392;0.018931444
93;0.227205632;0.267099933;0.280109497;0.273716486;0.354864868
94;0.052956909;0.091775563;0.009260281;0.020986239;0.044929771
95;0.488781918;0.139037059;0.099747005;0.27240036;0.106744676
96;0.033339974;0.049056348;0.008353151;0.017942154;0.033656642
97;0.293210114;0.202836038;0.142040714;0.142625587;0.154664699
98;0.048939609;0.079225646;0.027751355;0.01444867;0.040409659
99;0.111176886;0.122746662;0.105823868;0.207769389;0.115369592
100;0.042721742;0.046170946;0.014121745;0.022662225;0.043859498
101;0.041526769;0.123293189;0.033562938;0.030930807;0.02387118
102;0.119011244;0.049049751;0.171488701;0.158432;0.094434541
103;0.259509313;0.286183848;0.26256029;0.335043298;0.225084193
104;0.033991273;0.039170474;0.071714058;0.036043645;0.038732395
105;0.013502589;0.034157413;0.006542305;0.006768376;0.00948453
106;0.026877256;0.055248529;0.009868663;0.010739712;0.011528778
107;0.046627312;0.112449389;0.016430661;0.012383761;0.01371589
108;0.070446216;0.185937846;0.022442609;0.01963362;0.038675475
109;0.022629414;0.044277553;0.022629414;0.022640494;0.022217476
110;0.055028485;0.17319178;0.012344461;0.020431121;0.029235839
111;0.05641784;0.152672937;0.05641784;0.056422485;0.047630285
112;0.072781011;0.137952991;0.030023092;0.02216783;0.058521774
113;0.037724446;0.102924181;0.037990998;0.013220927;0.025387896
114;0.211567083;0.19894947;0.229329279;0.214171578;0.257104187
115;0.007015625;0.008788063;0.006543389;0.00596228;0.019992299
116;0.006822317;0.013775423;0.006020901;0.005030759;0.006389634
117;0.0122288;0.008005575;0.025990645;0.023274375;0.017358132
118;0.067217092;0.10421119;0.096181118;0.086598951;0.087394992
119;0.083945513;0.130739184;0.110003343;0.094725314;0.125940964
120;0.104291505;0.197637016;0.103745836;0.099146585;0.212803917
121;0.082074772;0.123768108;0.115397073;0.090773855;0.122513694
122;0.121535454;0.154989014;0.132845055;0.130088896;0.183325748
123;0.270044957;0.255778792;0.159536762;0.175554028;0.225664485
124;0.42073883;0.420619124;0.455770814;0.414074469;0.496927213
125;0.14999884;0.352444424;0.130473752;0.092242944;0.147023229
126;0.150118148;0.352392492;0.147591493;0.08219376;0.160974971
127;0.072420037;0.134588416;0.065263855;0.065871567;0.120554851
128;1.185272458;0.83721143;1.19720486;1.126996015;1.498734382
129;1.252853715;1.065364873;1.18053512;1.203581682;1.138113286
130;0.216766155;0.283025717;0.058211601;0.173891468;0.306568645
131;0.037000426;0.071563484;0.047040644;0.048846873;0.02934944
132;0.052314506;0.082457024;0.02247125;0.052313712;0.076153944
133;0.182833783;0.302004065;0.100257876;0.182832662;0.14294232
134;0.275961326;0.450168358;0.144602472;0.275961326;0.243071065
135;0.026959941;0.032148434;0.024169155;0.025985235;0.031888872
136;0.042625941;0.038962438;0.042997014;0.042848326;0.038804983
137;0.010535561;0.009748747;0.011266279;0.011499841;0.008881091
138;0.025428433;0.048125736;0.045964198;0.029347672;0.038296796
139;0.047717873;0.082179932;0.078586618;0.061481063;0.065923219
140;0.033925611;0.045217684;0.04899879;0.026200046;0.036900056
141;0.306688499;0.3365653;0.314438917;0.20544449;0.358120007
142;0.344030157;0.352654502;0.455543493;0.289817917;0.4640201
143;0.344020239;0.352665561;0.391730313;0.294890717;0.427519158
144;0.032623103;0.059758313;0.039616209;0.047462059;0.137990088
145;0.009896814;0.009213343;0.01016692;0.011482267;0.007426885
146;0.007962757;0.017803258;0.006878397;0.005652818;0.008879772
147;0.01431143;0.014772157;0.01431143;0.014341934;0.013472201
148;0.042895947;0.070880724;0.06510144;0.062525107;0.056051558
149;0.04814168;0.14455772;0.06012408;0.043505159;0.373163216
150;0.147342792;0.245149065;0.161753704;0.149160495;0.25559257
151;0.139289439;0.189522317;0.15301713;0.125891066;0.172452721
152;0.156046564;0.287448752;0.2033824;0.15771037;0.415960079
153;0.049330219;0.055256179;0.031348561;0.029567101;0.054405783
154;0.049326994;0.054976631;0.031475904;0.034131627;0.052954151
155;0.010055679;0.011878904;0.026806014;0.027074816;0.011542124
156;0.053318143;0.081672322;0.06814279;0.058913062;0.059053416
157;0.14790173;0.209584377;0.220813473;0.208811733;0.243128333
158;0.161568486;0.298186708;0.209081132;0.164773905;0.562670292
159;0.114692048;0.1718229;0.111136568;0.117847827;0.181537485
160;0.156058353;0.158947657;0.161317952;0.152502164;0.151671714
161;0.020287824;0.030410926;0.022157752;0.022187456;0.02736129
162;0.383647796;0.431050129;0.402220289;0.381056353;0.398631506
163;0.200356981;0.409743847;0.305533551;0.200351539;0.491418571
164;0.196099805;0.376584739;0.214237526;0.196095264;0.40418139
165;0.252830998;0.423428557;0.462282423;0.252825998;0.509660651
166;0.21972459;0.220133546;0.217545226;0.213102575;0.313193911
167;0.21954512;0.22014843;0.21954512;0.219703392;0.218665677
168;0.047982348;0.118885638;0.057936042;0.044405472;0.109112575
169;0.070023768;0.112487762;0.080240774;0.041462911;0.106350316
170;0.021206412;0.035987581;0.021496854;0.020382187;0.02267134
171;0.000582533;0.011248116;0.013840156;0.009602982;0.00279027
172;0.038268017;0.057137178;0.031375667;0.026050369;0.045781483
173;0.030661966;0.033959442;0.028643134;0.021246541;0.033745032
174;0.038504422;0.093027007;0.033980681;0.017432761;0.061121422
175;0.020426159;0.022574592;0.017771876;0.020446021;0.021558702
176;0.050992188;0.074439497;0.060452709;0.060806475;0.056051387
177;0.055001591;0.110349844;0.044782298;0.031731715;0.060498615
178;0.069450361;0.087433427;0.086634445;0.074636393;0.077928051
179;0.069450361;0.087433427;0.089333137;0.074142287;0.07549329
180;0.031977248;0.068709181;0.021592593;0.008179068;0.020450758
181;0.031977248;0.068709181;0.010262368;0.008789695;0.016332192
182;0.011396446;0.012578673;0.018817332;0.01435086;0.012164383
183;0.011850449;0.025687079;0.012665925;0.010075078;0.018519814
184;0.008314181;0.010030189;0.017064754;0.019239683;0.008909525
185;0.06367499;0.06067855;0.051560023;0.051065325;0.072990409
186;0.006843116;0.018831792;0.007206231;0.006844261;0.007711715
187;0.006843116;0.018831792;0.016874717;0.007218977;0.007953858
188;0.015758235;0.021791434;0.0248193;0.023665452;0.061360847
189;0.008626143;0.012878872;0.010609178;0.00772205;0.006725411
190;0.028201542;0.02350976;0.024620983;0.028001993;0.149218768
191;0.028212353;0.023405442;0.027953346;0.029426265;0.094272738
192;0.006172244;0.022282439;0.006172244;0.006172244;0.006502911
193;0.007749443;0.015692817;0.013456965;0.006013649;0.00603022
194;0.097274327;0.078808141;0.148686217;0.079850179;0.352590585
195;0.091375839;0.084496951;0.062385824;0.091375872;0.079106068
196;0.017773182;0.016776193;0.030636261;0.021669823;0.012843662
197;0.016843027;0.041399543;0.030316777;0.01007545;0.020234616
198;0.072121197;0.066899535;0.071302333;0.072122101;0.043322679
199;0.08051717;0.071742192;0.079332649;0.060237373;0.017302607
200;0.000870907;0.002219095;0.002669149;0.001768736;0.006372915
201;0.178636571;0.157411867;0.179155262;0.178638998;0.076449151
202;0.005049073;0.051354048;0.001966513;0.005050548;0.004962695
